number_of_items,kitchen_load,time_of_day,distance,KPT
4,4,1,5,17.831493369065132
5,4,2,3,18.599487942277413
3,4,1,3,13.741726556798682
5,4,1,7,21.20624268352679
5,5,3,7,23.497701770507298
2,5,3,6,16.457750781029716
3,2,2,4,12.014662877184241
3,1,1,6,10.558930689937352
3,4,1,5,15.99649200799146
5,2,1,6,16.829996032490957
4,1,2,2,12.0830827052059
3,6,2,5,18.69127884672149
5,3,2,7,19.10376794377748
2,5,2,3,13.838456726119952
4,6,2,7,23.870699585092193
2,1,3,4,9.330815849144619
4,6,1,5,21.219917150605934
5,3,1,5,17.173904940953143
1,1,1,2,6.721600099766321
4,6,1,4,19.578372825964095
2,5,1,3,14.833783912872343
5,5,1,8,23.574637121648582
4,2,1,5,15.83750787248324
1,6,1,5,16.306874095875273
1,4,3,2,10.248137269907533
3,6,1,6,20.55585495975994
3,1,3,9,14.601561013844368
2,1,2,3,7.466033857927189
4,6,1,7,22.73829868978581
4,3,2,4,15.360085494230782
3,5,2,5,19.96720371081249
4,1,2,5,12.507641713509486
4,5,3,7,22.10208521659041
1,1,2,3,6.417196834539014
3,2,2,9,16.429872208123935
5,4,2,6,22.279886099913842
3,1,1,5,11.79837745260118
5,5,1,9,24.065093080257583
1,2,3,3,7.691730377253409
2,1,3,7,10.916821731094773
4,3,1,2,14.603284668816649
1,4,3,6,13.613073631629499
4,1,1,4,11.84091205763593
2,2,2,5,12.195336118002816
2,3,2,3,10.64510015513154
1,6,3,2,13.043613922682178
2,2,1,4,10.817030170320695
5,2,1,8,19.76738869063063
2,3,3,3,10.790891482347432
4,2,1,3,12.911402418007336
4,3,2,4,15.431005492696658
4,1,3,2,12.665171932528876
4,3,3,8,18.034133562870938
5,3,1,9,20.980756662037034
3,4,3,9,18.436851176856287
1,3,1,7,12.235753879917667
4,3,1,2,12.575294550012194
2,6,1,6,16.44644014386561
4,1,1,5,13.239045167040741
2,4,1,4,11.912224554701762
2,6,3,7,17.3937286907172
4,5,2,8,20.61973159063706
5,1,2,4,13.85338829086667
